Ticker Name,Company Name,Stock price
EVHC,Envision Healthcare Corp.,68.02
EW,Edwards Lifesciences Corp.,95.13
EXC,Exelon Corp.,35.1
EXPD,Expeditors International of Washington Inc.,52.93
EXPE,Expedia Inc.,120.99
EXR,Extra Space Storage Inc.,73.98
F,Ford Motor Co.,12.4
FAST,Fastenal Co.,50.37
FB,Facebook Inc. Cl A,131.85
FBHS,Fortune Brands Home & Security Inc.,56.46
FCX,Freeport-McMoRan Inc.,15.8
FDX,FedEx Corp.,192.5
FE,FirstEnergy Corp.,29.89
FFIV,F5 Networks Inc.,133.42
FIS,Fidelity National Information Services Inc.,79.56
FISV,Fiserv Inc.,107.85
FITB,Fifth Third Bancorp,27.11
FL,Foot Locker Inc.,69.19
FLIR,Flir Systems Inc.,35.66
FLR,Fluor Corp.,56.74
FLS,Flowserve Corp.,51.54
FMC,FMC Corp.,62.15
FOX,21st Century Fox Inc. Cl B,30.59
FOXA,21st Century Fox Inc. Cl A,31
FRT,Federal Realty Investment Trust,140.8
FSLR,First Solar Inc.,32.28
FTI,TechnipFMC PLC,35.25
FTR,Frontier Communications Corp.,3.5
FTV,Fortive Corp.,55.69
GD,General Dynamics Corp.,177.54
GE,General Electric Co.,30.25
GGP,General Growth Properties Inc.,24.68
GILD,Gilead Sciences Inc.,71.25
GIS,General Mills Inc.,62.7
GLW,Corning Inc.,26.56
GM,General Motors Co.,37.53
GOOG,Alphabet Inc. Cl C,812.3
GOOG,Alphabet Inc. Cl C,812.3
GOOGL,Alphabet Inc. Cl A,838.02
GOOGL,Alphabet Inc. Cl A,838.02
GPC,Genuine Parts Co.,97.14
GPN,Global Payments Inc.,76.8
GPS,Gap Inc.,23.75
GRMN,Garmin Ltd.,49.08
GS,Goldman Sachs Group Inc.,239.65
GT,Goodyear Tire & Rubber Co.,31.71
GWW,W.W. Grainger Inc.,256.34
HAL,Halliburton Co.,58.1
HAR,Harman International Industries Inc.,111.08
HAS,Hasbro Inc.,81.51
HBAN,Huntington Bancshares Inc.,14.01
HBI,Hanesbrands Inc.,23.64
HCA,HCA Holdings Inc.,80.28
HCN,Welltower Inc.,66.14
HCP,HCP Inc.,29.57
HD,Home Depot Inc.,138.4
HES,Hess Corp.,56.17
HIG,Hartford Financial Services Group Inc.,48.54
HOG,Harley-Davidson Inc.,60.18
HOLX,Hologic Inc.,40.17
HON,Honeywell International Inc.,117.5
HP,Helmerich & Payne Inc.,75.75
HPE,Hewlett Packard Enterprise Co.,22.71
HPQ,HP Inc.,14.79
HRB,H&R Block Inc.,22.9
HRL,Hormel Foods Corp.,36.16
HRS,Harris Corp.,101.23
HSIC,Henry Schein Inc.,159.62
HST,Host Hotels & Resorts Inc.,18.61
HSY,Hershey Co.,104.96
HUM,Humana Inc.,200.13
IBM,International Business Machines Corp.,178.32
ICE,Intercontinental Exchange Inc.,58.17
IDXX,IDEXX Laboratories Inc.,119.61
IFF,International Flavors & Fragrances Inc.,119.7
ILMN,Illumina Inc.,160.2
INTC,Intel Corp.,37.63
INTC,Intel Corp.,37.63
INTU,Intuit Inc.,118.46
IP,International Paper Co.,57.83
IPG,Interpublic Group of Cos.,23.89
IR,Ingersoll-Rand PLC,80.17
IRM,Iron Mountain Inc.,36.17
ISRG,Intuitive Surgical Inc.,687.56
ITW,Illinois Tool Works Inc.,128.21
IVZ,INVESCO Ltd.,30
JBHT,J.B. Hunt Transport Services Inc.,98.76
JCI,Johnson Controls International PLC,44.3
JEC,Jacobs Engineering Group Inc.,61.22
JNJ,Johnson & Johnson,112
JNPR,Juniper Networks Inc.,25.51
JPM,JPMorgan Chase & Co.,86.71
JWN,Nordstrom Inc.,44.71
K,Kellogg Co.,72.09
KEY,KeyCorp,18.45
KHC,Kraft Heinz Co.,89.52
KIM,Kimco Realty Corp.,25.08
KLAC,KLA-Tencor Corp.,85.92
KMB,Kimberly-Clark Corp.,122.15
KMI,Kinder Morgan Inc.,22.39
KMX,CarMax Inc.,67.67
KO,Coca-Cola Co.,41.8
KORS,Michael Kors Holdings Ltd.,42.06
KR,Kroger Co.,33.74
KSS,Kohl's Corp.,40.25
KSU,Kansas City Southern,87.3
L,Loews Corp.,47.05
LB,L Brands Inc.,61.26
LEG,Leggett & Platt Inc.,48.08
LEN,Lennar Corp. Cl A,46.7
LH,Laboratory Corp. of America Holdings,133.83
LKQ,LKQ Corp.,31.59
LLL,L3 Technologies Inc.,155.65
LLTC,Linear Technology Corp.,62.84
LLY,Eli Lilly & Co.,74.58
LMT,Lockheed Martin Corp.,255
LNC,Lincoln National Corp.,69.65
LNT,Alliant Energy Corp.,36.95
LOW,Lowe's Cos.,73.49
LRCX,Lam Research Corp.,114.6
LUK,Leucadia National Corp.,24.25
LUV,Southwest Airlines Co.,53.7
LVLT,Level 3 Communications Inc.,59.76
LYB,LyondellBasell Industries N.V. Cl A,95.39
M,Macy's Inc.,29.92
MA,Mastercard Inc.,109.65
MAA,Mid-America Apartment Communities Inc.,96.81
MAC,Macerich Co.,69.83
MAR,Marriott International Inc.,85.84
MAS,Masco Corp.,33.64
MAT,Mattel Inc.,25.99
MCD,McDonald's Corp.,121.88
MCHP,Microchip Technology Inc.,67.63
MCK,McKesson Corp.,138.6
MCO,Moody's Corp.,104.07
MDLZ,Mondelez International Inc. Cl A,44.61
MDT,Medtronic PLC,74.04
MET,MetLife Inc.,56.03
MHK,Mohawk Industries Inc.,215.45
MJN,Mead Johnson Nutrition Co.,73.04
MKC,McCormick & Co. Inc.,95.6
MLM,Martin Marietta Materials Inc.,241.62
MMC,Marsh & McLennan Cos.,68.75
MMM,3M Co.,177.3
MNK,Mallinckrodt PLC,46.55
MNST,Monster Beverage Corp.,42.67
MO,Altria Group Inc.,70.6
